Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)
98	Spectrogram 1	1	328.636510299	328.836270408	3030.900	5076.800	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	30.9132
99	Spectrogram 1	1	335.243391012	335.430820250	2917.300	6137.600	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	37.5200
100	Spectrogram 1	1	336.437019354	336.634313289	3068.800	6175.500	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	38.7137
101	Spectrogram 1	1	337.647910879	337.830407768	3030.900	10039.900	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	39.9246
102	Spectrogram 1	1	338.848937706	339.033900770	2273.200	10077.800	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	41.1256
103	Spectrogram 1	1	343.048832415	343.228863131	2614.200	3182.500	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	45.3255
104	Spectrogram 1	1	344.247393069	344.437288481	2727.800	3068.800	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	46.5240
105	Spectrogram 1	1	345.441021411	345.628450649	2424.700	9168.600	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	47.7177
106	Spectrogram 1	1	346.646980587	346.839342173	2349.000	9168.600	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	48.9236
107	Spectrogram 1	1	347.845541241	348.037902827	2424.700	15003.100	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	50.1222
108	Spectrogram 1	1	349.029304886	349.248794388	2803.600	15116.800	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	51.3059
109	Spectrogram 1	1	353.248928952	353.431425841	2917.300	4129.600	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	55.5256
110	Spectrogram 1	1	354.440091083	354.627520321	2159.500	4091.800	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	56.7167
111	Spectrogram 1	1	355.641117947	355.826081011	2879.400	12199.500	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	57.9178
112	Spectrogram 1	1	356.839678601	357.034506361	2803.600	11934.300	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	59.1163
113	Spectrogram 1	1	358.035773117	358.245397922	2689.900	16670.100	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	60.3124
114	Spectrogram 1	1	359.239266119	359.424229183	2689.900	17200.500	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	61.5159
115	Spectrogram 1	1	392.769370649	392.954333713	2349.000	3296.100	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	24.2963
116	Spectrogram 1	1	393.960532781	394.157826715	2311.100	5114.700	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	25.4874
117	Spectrogram 1	1	395.168958131	395.358853543	2235.300	5114.700	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	26.6959
118	Spectrogram 1	1	401.761041799	401.950937211	2235.300	6061.900	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	33.2879
119	Spectrogram 1	1	402.967001012	403.164294946	2235.300	5872.400	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	34.4939
120	Spectrogram 1	1	404.163095491	404.355457078	2803.600	10039.900	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	35.6900
121	Spectrogram 1	1	405.366588530	405.563882464	2500.500	10229.400	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	36.8935
122	Spectrogram 1	1	409.568949376	409.766243311	795.600	3030.900	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	41.0959
123	Spectrogram 1	1	410.762577682	410.962337791	454.600	3106.700	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	42.2895
124	Spectrogram 1	1	411.961138372	412.163364655	2424.700	9092.800	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	43.4880
125	Spectrogram 1	1	413.167097548	413.352060612	2349.000	9054.900	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	44.6940
126	Spectrogram 1	1	414.368124376	414.560485962	2652.100	15116.800	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	45.8950
127	Spectrogram 1	1	415.564218892	415.756580478	2045.900	15230.400	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	47.0911
128	Spectrogram 1	1	419.764113565	419.954008977	606.200	4205.400	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	51.2910
129	Spectrogram 1	1	420.960208044	421.167366676	0.000	4167.500	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	52.4871
130	Spectrogram 1	1	422.166167200	422.358528786	1629.100	12313.100	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	53.6931
131	Spectrogram 1	1	423.367194028	423.566954137	2386.900	12123.700	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	54.8941
132	Spectrogram 1	1	424.560822369	424.753183956	2803.600	16442.800	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	56.0877
133	Spectrogram 1	1	425.759383023	425.969007829	2879.400	17352.100	4CH008I_Dec5_FieldRecordings_10mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH008I_Dec5_FieldRecordings_10mTake1.wav	57.2863
134	Spectrogram 1	1	461.763060380	461.970219011	2273.200	3182.500	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	25.4267
135	Spectrogram 1	1	462.964087208	463.153982620	2273.200	3220.400	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	26.6278
136	Spectrogram 1	1	464.167580210	464.359941796	2386.900	5228.400	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	27.8312
137	Spectrogram 1	1	465.368607074	465.560968660	2386.900	5228.400	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	29.0323
138	Spectrogram 1	1	471.963156916	472.157984677	2197.400	6175.500	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	35.6268
139	Spectrogram 1	1	473.166649918	473.368876201	1970.100	6137.600	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	36.8303
140	Spectrogram 1	1	474.370142920	474.572369203	2273.200	10191.500	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	38.0338
141	Spectrogram 1	1	475.568703610	475.763531371	1856.400	10039.900	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	39.2324
142	Spectrogram 1	1	479.766132109	479.965892218	0.000	3182.500	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	43.4298
143	Spectrogram 1	1	480.969625111	481.169385220	0.000	3144.600	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	44.6333
144	Spectrogram 1	1	482.168185778	482.360547365	2841.500	9168.600	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	45.8319
145	Spectrogram 1	1	483.369212606	483.566506541	2235.300	9433.800	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	47.0329
146	Spectrogram 1	1	484.570239470	484.765067231	2727.800	15192.500	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	48.2339
147	Spectrogram 1	1	485.763867776	485.968560233	2538.400	15268.300	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	49.4276
148	Spectrogram 1	1	489.968694797	490.165988732	682.000	4281.200	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	53.6324
149	Spectrogram 1	1	491.167255487	491.367015596	0.000	4129.600	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	54.8309
150	Spectrogram 1	1	492.368282315	492.568042424	2576.300	12123.700	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	56.0320
151	Spectrogram 1	1	493.566842969	493.761670729	2538.400	12275.300	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	57.2305
152	Spectrogram 1	1	494.770336007	494.960231419	2841.500	20117.800	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	58.4340
153	Spectrogram 1	1	495.971362835	496.161258247	2576.300	20231.400	4CH009I_Dec5_FieldRecrodings_10mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH009I_Dec5_FieldRecrodings_10mTake2.wav	59.6350
