Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)
12	Spectrogram 1	1	59.081086658	59.275914418	795.600	10153.600	4CH001I_Dec5_FieldSchroeder_2m.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH001I_Dec5_FieldSchroeder_2m.wav	59.0811
13	Spectrogram 1	1	63.278515192	63.470876779	341.000	3182.500	4CH001I_Dec5_FieldSchroeder_2m.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH001I_Dec5_FieldSchroeder_2m.wav	63.2785
14	Spectrogram 1	1	64.477075846	64.681768304	113.700	3220.400	4CH001I_Dec5_FieldSchroeder_2m.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH001I_Dec5_FieldSchroeder_2m.wav	64.4771
15	Spectrogram 1	1	65.685501197	65.887727480	644.100	9206.400	4CH001I_Dec5_FieldSchroeder_2m.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH001I_Dec5_FieldSchroeder_2m.wav	65.6855
16	Spectrogram 1	1	66.876663364	67.073957299	416.800	9168.600	4CH001I_Dec5_FieldSchroeder_2m.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH001I_Dec5_FieldSchroeder_2m.wav	66.8767
17	Spectrogram 1	1	68.077690192	68.282382649	682.000	15003.100	4CH001I_Dec5_FieldSchroeder_2m.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH001I_Dec5_FieldSchroeder_2m.wav	68.0777
18	Spectrogram 1	1	69.286115579	69.471078643	719.800	15078.900	4CH001I_Dec5_FieldSchroeder_2m.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH001I_Dec5_FieldSchroeder_2m.wav	69.2861
19	Spectrogram 1	1	73.483544077	73.680838012	644.100	4167.500	4CH001I_Dec5_FieldSchroeder_2m.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH001I_Dec5_FieldSchroeder_2m.wav	73.4835
20	Spectrogram 1	1	74.679638557	74.872000143	416.800	4091.800	4CH001I_Dec5_FieldSchroeder_2m.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH001I_Dec5_FieldSchroeder_2m.wav	74.6796
21	Spectrogram 1	1	75.880665421	76.085357878	492.500	12085.800	4CH001I_Dec5_FieldSchroeder_2m.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH001I_Dec5_FieldSchroeder_2m.wav	75.8807
22	Spectrogram 1	1	77.076759901	77.274053835	871.400	12161.600	4CH001I_Dec5_FieldSchroeder_2m.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH001I_Dec5_FieldSchroeder_2m.wav	77.0768
23	Spectrogram 1	1	78.285185251	78.484945360	1212.400	20155.700	4CH001I_Dec5_FieldSchroeder_2m.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH001I_Dec5_FieldSchroeder_2m.wav	78.2852
24	Spectrogram 1	1	79.483745941	79.683506050	682.000	20079.900	4CH001I_Dec5_FieldSchroeder_2m.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH001I_Dec5_FieldSchroeder_2m.wav	79.4837
25	Spectrogram 1	1	123.916806733	124.119033016	265.200	1174.500	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	27.5525
26	Spectrogram 1	1	125.117833561	125.312661322	0.000	1250.300	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	28.7536
27	Spectrogram 1	1	126.311461903	126.511222012	0.000	3144.600	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	29.9472
28	Spectrogram 1	1	127.512488731	127.714715014	0.000	3182.500	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	31.1482
29	Spectrogram 1	1	128.713515559	128.908343319	0.000	5038.900	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	32.3493
30	Spectrogram 1	1	129.917008597	130.111836357	0.000	5152.600	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	33.5527
31	Spectrogram 1	1	134.111970921	134.311731030	0.000	2008.000	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	37.7477
32	Spectrogram 1	1	135.310531611	135.512757894	0.000	2159.500	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	38.9463
33	Spectrogram 1	1	136.514024613	136.708852374	0.000	6251.300	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	40.1498
34	Spectrogram 1	1	137.719983790	137.912345376	0.000	6213.400	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	41.3557
35	Spectrogram 1	1	138.913612131	139.113372240	0.000	10191.500	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	42.5493
36	Spectrogram 1	1	140.114638959	140.314399068	0.000	10191.500	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	43.7504
37	Spectrogram 1	1	144.312067458	144.514293741	0.000	3182.500	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	47.9478
38	Spectrogram 1	1	145.513094322	145.720252953	0.000	3182.500	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	49.1488
39	Spectrogram 1	1	146.714121150	146.916347433	0.000	9054.900	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	50.3499
40	Spectrogram 1	1	147.920080326	148.112441912	0.000	9168.600	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	51.5558
41	Spectrogram 1	1	149.113708468	149.311002403	0.000	15041.000	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	52.7495
42	Spectrogram 1	1	150.319667645	150.521893928	113.700	15078.900	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	53.9554
43	Spectrogram 1	1	154.514630005	154.714390114	37.900	4129.600	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	58.1504
44	Spectrogram 1	1	155.715656833	155.912950768	0.000	4091.800	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	59.3514
45	Spectrogram 1	1	156.916683661	157.109045247	0.000	12123.700	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	60.5524
46	Spectrogram 1	1	158.110312003	158.317470634	0.000	12123.700	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	61.7461
47	Spectrogram 1	1	159.313805005	159.511098939	0.000	20193.600	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	62.9495
48	Spectrogram 1	1	160.512365658	160.714591942	0.000	20079.900	4CH003I_ Dec5_FieldRecordings_2mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH003I_ Dec5_FieldRecordings_2mTake2.wav	64.1481
49	Spectrogram 1	1	185.403461838	185.593357250	0.000	1212.400	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	19.7988
50	Spectrogram 1	1	186.592157831	186.801782637	0.000	1098.700	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	20.9874
51	Spectrogram 1	1	187.800583181	187.992944768	0.000	3182.500	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	22.1959
52	Spectrogram 1	1	188.994211487	189.191505421	0.000	3144.600	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	23.3895
53	Spectrogram 1	1	190.195238351	190.392532286	0.000	5114.700	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	24.5905
54	Spectrogram 1	1	191.388866656	191.593559114	0.000	5152.600	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	25.7841
55	Spectrogram 1	1	195.588761365	195.790987648	0.000	1932.200	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	29.9840
56	Spectrogram 1	1	196.797186716	196.987082128	0.000	2197.400	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	31.1925
57	Spectrogram 1	1	197.993281195	198.193041304	0.000	6137.600	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	32.3886
58	Spectrogram 1	1	199.191841885	199.391601994	0.000	6137.600	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	33.5871
59	Spectrogram 1	1	200.395334887	200.597561170	0.000	10153.600	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	34.7906
60	Spectrogram 1	1	201.593895541	201.791189476	0.000	10115.700	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	35.9892
61	Spectrogram 1	1	205.796256424	205.993550359	0.000	3106.700	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	40.1915
62	Spectrogram 1	1	206.999749426	207.194577187	0.000	3068.800	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	41.3950
