Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Time 95% (s)	Time 5% (s)	Sample Length (samples)	Peak Time (s)	Peak Freq Contour (Hz)	Peak Freq (Hz)	Min Time (s)	Max Time (s)	Max Freq (Hz)	Length (frames)	IQR Dur (s)	Freq 95% (Hz)	Freq 5% (Hz)	Dur 90% (s)	Delta Time (s)	Center Time (s)	Delta Freq (Hz)	BW 90% (Hz)	Q3 Time (s)	Q1 Time Rel.	Q1 Time (s)	Q1 Freq (Hz)	Q3 Freq (Hz)	Q3 Time Rel.	Agg Entropy (bits)	Avg Entropy (bits)	Avg Power (dB)	Begin File	Center Freq (Hz)	Delta Power (dB)	Energy (dB)	Freq Contour  5% (Hz)	Freq Contour 25% (Hz)	Freq Contour 50% (Hz)	Freq Contour 75% (Hz)	Freq Contour 95% (Hz)	IQR BW (Hz)	Max Entropy (bits)	Min Entropy (bits)	Peak Amp (U)	PFC Avg Slope (Hz/ms)	PFC Max Freq (Hz)	PFC Max Slope (Hz/ms)	PFC Min Freq (Hz)	PFC Min Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)	Q1 Freq Rel.	Q3 Freq Rel.	Avg Amp (u)	Begin Path	Center Time Rel.	File Offset (s)	F-RMS Amp (U)	Freq 5% Rel.	Freq 95% Rel.	Inband Power (dB)	Leq (dB)	Max Amp (U)	Max Bearing (deg)	Max Power (dB)	Min Amp (U)	Peak Corr (U)	Peak Lag (s)	Peak Power (dB)	Peak Time Relative	RMS Amp (U)	SEL (dB)	Time 5% Rel.	Time 95% Rel.	Fundamental	NumberOfComponents	SchroederDirection
6	Spectrogram 1	1	6.000734366	6.199595796	0.0000	5249.9274	6.1866	6.0136	9710	6.1394	4863.7266;4196.1562;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2193.4453;4005.4219;4005.4219;4005.4219;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;190.7344;190.7344;190.7344;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2193.4453;2193.4453;4005.4219;4005.4219;4005.4219;4196.1562;4196.1562;1430.5078;381.4688	2002.7109		6.1394	2002.7	38	0.1	4863.7	381.5	0.2	0.199	6.097	5249.9	4482.3	6.1	0.2703	6.1	1335.1	3814.7	0.7297	5.663	5.584	143.0	SchroederCallsTest4_3Nov2022.wav	2574.9141		173.2485	286.1016;381.4688;381.4688;381.4688;381.4688;381.4688;286.1016;286.1016;286.1016;286.1016;286.1016;286.1016;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;286.1016;286.1016;286.1016;286.1016;286.1016;286.1016;381.4688;381.4688;381.4688;381.4688;286.1016	953.6719;1907.3438;1621.2422;1621.2422;1525.8750;1430.5078;1239.7734;1239.7734;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1239.7734;1335.1406;1335.1406;1430.5078;1525.8750;1621.2422;1621.2422;1716.6094;1621.2422;1621.2422;1621.2422;1430.5078;1335.1406;1239.7734;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1239.7734;1239.7734;1144.4062;858.3047	3242.4844;3147.1172;2956.3828;3051.7500;3051.7500;2956.3828;2861.0156;2765.6484;2574.9141;2384.1797;2288.8125;2193.4453;2193.4453;2193.4453;2193.4453;2288.8125;2384.1797;2479.5469;2574.9141;2670.2812;2765.6484;2861.0156;2956.3828;2956.3828;3051.7500;2956.3828;2956.3828;2861.0156;2670.2812;2574.9141;2384.1797;2193.4453;2193.4453;2193.4453;2193.4453;2288.8125;2098.0781;1716.6094	4291.5234;4100.7891;4005.4219;4005.4219;4100.7891;4100.7891;4100.7891;4100.7891;4005.4219;4005.4219;3814.6875;3814.6875;3623.9531;3623.9531;3528.5859;3433.2188;3528.5859;3623.9531;3623.9531;3719.3203;3814.6875;3910.0547;3910.0547;4005.4219;4005.4219;4100.7891;4100.7891;4100.7891;4005.4219;4005.4219;4005.4219;3814.6875;3719.3203;3623.9531;3528.5859;3433.2188;3242.4844;4196.1562	4959.0938;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4863.7266;4768.3594;4768.3594;4863.7266	2479.5469	5.6172	5.5072		-23.1060	4863.7266	345.6062	190.7344	-763.9716	4.000	-127.3286;-418.3654;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.3796;345.6062;0.0000;0.0000;36.3796;0.0000;0.0000;0.0000;0.0000;0.0000;-763.9716;0.0000;0.0000;345.6062;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.3796;0.0000;345.6062;0.0000;0.0000;36.3796;0.0000;-527.5042;-200.0878	0.2545	0.7273		C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav	0.486	6.001		0.0727	0.9273	133.3683				145.1811				145.1811	0.7027			0.0541	0.9459	200	25	neg
6	Waveform 1	1	6.000734366	6.199595796	0.0000	5249.9274			9710	6.0391			6.0391	6.0542		9710					0.199		5249.9											SchroederCallsTest4_3Nov2022.wav												8388608.0										-187.4	C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav		6.001	4668041.3				133.4	7602688.0			-8388608.0				0.1928	4668283.8	126.4			200	25	neg
7	Spectrogram 1	1	10.200631386	10.399396394	0.0000	2251.3373	10.3862	10.2131	9705	10.2341	2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109	2002.7109		10.2341	2002.7	38	0.1	2002.7	381.5	0.2	0.199	10.302	2251.3	1621.2	10.3	0.2703	10.3	762.9	1621.2	0.7568	3.577	3.596	146.4	SchroederCallsTest4_3Nov2022.wav	1239.7734		173.0343	381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688	762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375	1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734	1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422	2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109	858.3047	4.0177	3.5598		0.0000	2002.7109	0.0000	2002.7109	0.0000	0.000	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000	0.3478	0.7391		C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav	0.514	10.201		0.1739	0.9130	133.1541				151.7802				151.7802	0.1622			0.0541	0.9459	400	5	pos
7	Waveform 1	1	10.200631386	10.399396394	0.0000	2251.3373			9705	10.2283			10.2283	10.2436		9705					0.199		2251.3											SchroederCallsTest4_3Nov2022.wav												8388608.0										-192.0	C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav		10.201	4551463.6				133.2	6768128.0			-8388608.0				0.1391	4551704.8	126.1			400	5	pos
8	Spectrogram 1	1	11.400689433	11.599478538	0.0000	2251.3373	11.5868	11.4138	9707	11.4610	2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109	2002.7109		11.4610	2002.7	38	0.1	2002.7	381.5	0.2	0.199	11.498	2251.3	1621.2	11.5	0.2703	11.5	762.9	1621.2	0.7297	3.577	3.596	146.4	SchroederCallsTest4_3Nov2022.wav	1239.7734		173.0344	381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688;381.4688	762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375	1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734;1239.7734	1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422	2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109	858.3047	4.0010	3.5598		0.0000	2002.7109	0.0000	2002.7109	0.0000	0.000	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000	0.3478	0.7391		C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav	0.486	11.401		0.1739	0.9130	133.1541				151.7802				151.7802	0.2973			0.0541	0.9459	400	5	neg
8	Waveform 1	1	11.400689433	11.599478538	0.0000	2251.3373			9707	11.4418			11.4418	11.4290		9707					0.199		2251.3											SchroederCallsTest4_3Nov2022.wav												8388608.0										-186.1	C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav		11.401	4551229.3				133.2	6768128.0			-8388608.0				0.2067	4551236.1	126.1			400	5	neg
9	Spectrogram 1	1	12.600422050	12.799532612	0.0000	6250.7271	12.7822	12.6144	9722	12.6930	2002.7109;2002.7109;4005.4219;4005.4219;4005.4219;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;6008.1328;4005.4219;4005.4219;4005.4219;4005.4219;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;6008.1328;4005.4219;4005.4219;4005.4219;4005.4219;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;6008.1328;4005.4219;4005.4219;4005.4219;4005.4219;2002.7109;2002.7109	2002.7109		12.6930	2002.7	38	0.1	6008.1	476.8	0.2	0.199	12.698	6250.7	5531.3	12.7	0.2432	12.7	1621.2	4768.4	0.7297	5.162	5.182	142.1	SchroederCallsTest4_3Nov2022.wav	3242.4844		173.0419	476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359	1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422	3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844	4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594	5912.7656;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;5912.7656	3147.1172	5.6699	5.1517		0.0000	6008.1328	763.9716	2002.7109	-381.9858	7.000	0.0000;381.9858;0.0000;0.0000;-381.9858;0.0000;0.0000;0.0000;0.0000;763.9716;-381.9858;0.0000;0.0000;0.0000;-381.9858;0.0000;0.0000;0.0000;0.0000;0.0000;763.9716;-381.9858;0.0000;0.0000;0.0000;-381.9858;0.0000;0.0000;0.0000;0.0000;763.9716;-381.9858;0.0000;0.0000;0.0000;-381.9858;0.0000	0.2615	0.7692		C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav	0.486	12.600		0.0769	0.9692	133.1616				147.0295				147.0295	0.4595			0.0541	0.9189	400	15	pos
9	Waveform 1	1	12.600422050	12.799532612	0.0000	6250.7271			9722	12.6294			12.6294	12.6231		9722					0.199		6250.7											SchroederCallsTest4_3Nov2022.wav												8388608.0										-140.7	C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav		12.600	4551660.3				133.2	7269632.0			-8388608.0				0.1457	4551897.7	126.2			400	15	pos
10	Spectrogram 1	1	13.800556877	13.999699584	0.0000	6250.7271	13.9828	13.8150	9724	13.9671	2002.7109;2002.7109;2002.7109;4005.4219;4005.4219;4005.4219;4005.4219;6008.1328;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;4005.4219;4005.4219;4005.4219;4005.4219;6008.1328;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;4005.4219;4005.4219;4005.4219;4005.4219;6008.1328;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;4005.4219;4005.4219;6008.1328;6008.1328	2002.7109		13.9671	2002.7	38	0.1	6008.1	476.8	0.2	0.199	13.899	6250.7	5531.3	13.9	0.2432	13.9	1621.2	4768.4	0.7297	5.162	5.183	142.1	SchroederCallsTest4_3Nov2022.wav	3242.4844		173.0411	476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359;476.8359	1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1621.2422;1716.6094	3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3242.4844;3147.1172	4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4672.9922	6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;6008.1328;5912.7656	3147.1172	5.7457	5.1517		20.6479	6008.1328	381.9858	2002.7109	-763.9716	6.000	0.0000;0.0000;381.9858;0.0000;0.0000;0.0000;381.9858;-763.9716;0.0000;0.0000;0.0000;0.0000;381.9858;0.0000;0.0000;0.0000;381.9858;-763.9716;0.0000;0.0000;0.0000;0.0000;381.9858;0.0000;0.0000;0.0000;381.9858;-763.9716;0.0000;0.0000;0.0000;0.0000;0.0000;381.9858;0.0000;381.9858;0.0000	0.2615	0.7692		C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav	0.486	13.801		0.0769	0.9692	133.1609				147.0295				147.0295	0.8378			0.0541	0.9189	400	15	neg
10	Waveform 1	1	13.800556877	13.999699584	0.0000	6250.7271			9724	13.8432			13.8432	13.9195		9724					0.199		6250.7											SchroederCallsTest4_3Nov2022.wav												8388608.0										-139.5	C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav		13.801	4551427.0				133.2	7269632.0			-8388608.0				0.2139	4551430.4	126.2			400	15	neg
11	Spectrogram 1	1	15.000397996	15.199685367	0.0000	10248.4207	15.1834	15.0156	9731	15.0733	4005.4219;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;8392.3125;8392.3125;8392.3125;4005.4219;4005.4219;4005.4219;2002.7109;2002.7109;2002.7109;2002.7109;8392.3125;8392.3125;8392.3125;6008.1328;4005.4219;4005.4219;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;8392.3125;8392.3125;6008.1328;4005.4219;4005.4219;2002.7109;2002.7109;2002.7109;2002.7109;8392.3125;8010.8438	2002.7109		15.0733	2002.7	38	0.1	9632.1	762.9	0.2	0.199	15.100	10248.4	8869.1	15.1	0.2432	15.1	2765.6	7629.4	0.7297	5.898	5.920	140.1	SchroederCallsTest4_3Nov2022.wav	5245.1953		173.2543	762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375	2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484	5149.8281;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5149.8281;4959.0938	7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7534.0078	9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859	4863.7266	6.5260	5.8889		20.6479	8392.3125	1218.7167	2002.7109	-836.7308	8.000	-381.9858;0.0000;0.0000;0.0000;0.0000;1218.7167;0.0000;0.0000;-836.7308;0.0000;0.0000;-381.9858;0.0000;0.0000;0.0000;1218.7167;0.0000;0.0000;-454.7450;-381.9858;0.0000;-381.9858;0.0000;0.0000;0.0000;0.0000;1218.7167;0.0000;-454.7450;-381.9858;0.0000;-381.9858;0.0000;0.0000;0.0000;1218.7167;-72.7592	0.2710	0.7477		C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav	0.486	15.000		0.0748	0.9439	133.3741				145.0249				145.0249	0.3514			0.0541	0.9189	400	25	pos
11	Waveform 1	1	15.000397996	15.199685367	0.0000	10248.4207			9731	15.1055			15.1055	15.0980		9731					0.199		10248.4											SchroederCallsTest4_3Nov2022.wav												8388608.0										-138.3	C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav		15.000	4663240.5				133.4	7602688.0			-8388608.0				0.5275	4663244.3	126.4			400	25	pos
