Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	sound.id	template	old.selec
57.2982523111775	58.2982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	57.2982523111775	1	Spectrogram 1	1	1172.32545392787	2648.15842700099	start_marker	end_marker	1
59.0982523111775	60.0982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	59.0982523111775	2	Spectrogram 1	1	150	1206.90977515244	f0:200_comp:5_n	end_marker	2
60.8982523111775	61.8982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	60.8982523111775	3	Spectrogram 1	1	150	1206.90977515244	f0:200_comp:5_p	end_marker	3
62.6982523111775	63.6982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	62.6982523111775	4	Spectrogram 1	1	150	1385.47780106707	f0:200_comp:6_n	end_marker	4
64.4982523111775	65.4982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	64.4982523111775	5	Spectrogram 1	1	150	1385.47780106707	f0:200_comp:6_p	end_marker	5
66.2982523111775	67.2982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	66.2982523111775	6	Spectrogram 1	1	150	1564.04582698171	f0:200_comp:7_n	end_marker	6
68.0982523111775	69.0982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	68.0982523111775	7	Spectrogram 1	1	150	1564.04582698171	f0:200_comp:7_p	end_marker	7
69.8982523111775	70.8982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	69.8982523111775	8	Spectrogram 1	1	150	1831.89786585366	f0:200_comp:8_n	end_marker	8
71.6982523111775	72.6982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	71.6982523111775	9	Spectrogram 1	1	150	1831.89786585366	f0:200_comp:8_p	end_marker	9
73.4982523111775	74.4982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	73.4982523111775	10	Spectrogram 1	1	150	2010.46589176829	f0:200_comp:9_n	end_marker	10
75.2982523111775	76.2982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	75.2982523111775	11	Spectrogram 1	1	150	2010.46589176829	f0:200_comp:9_p	end_marker	11
77.0982523111775	78.0982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	77.0982523111775	12	Spectrogram 1	1	150	2189.03391768293	f0:200_comp:10_n	end_marker	12
78.8982523111775	79.8982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	78.8982523111775	13	Spectrogram 1	1	150	2189.03391768293	f0:200_comp:10_p	end_marker	13
80.6982523111775	81.6982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	80.6982523111775	14	Spectrogram 1	1	150	2456.88595655488	f0:200_comp:11_n	end_marker	14
82.4982523111775	83.4982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	82.4982523111775	15	Spectrogram 1	1	150	2456.88595655488	f0:200_comp:11_p	end_marker	15
84.2982523111775	85.2982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	84.2982523111775	16	Spectrogram 1	1	150	2635.45398246951	f0:200_comp:12_n	end_marker	16
86.0982523111775	87.0982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	86.0982523111775	17	Spectrogram 1	1	150	2635.45398246951	f0:200_comp:12_p	end_marker	17
87.8982523111775	88.8982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	87.8982523111775	18	Spectrogram 1	1	150	2814.02200838415	f0:200_comp:13_n	end_marker	18
89.6982523111775	90.6982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	89.6982523111775	19	Spectrogram 1	1	150	2814.02200838415	f0:200_comp:13_p	end_marker	19
91.4982523111775	92.4982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	91.4982523111775	20	Spectrogram 1	1	150	3081.8740472561	f0:200_comp:14_n	end_marker	20
93.2982523111775	94.2982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	93.2982523111775	21	Spectrogram 1	1	150	3081.8740472561	f0:200_comp:14_p	end_marker	21
95.0982523111775	96.0982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	95.0982523111775	22	Spectrogram 1	1	150	3260.44207317073	f0:200_comp:15_n	end_marker	22
96.8982523111775	97.8982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	96.8982523111775	23	Spectrogram 1	1	150	3260.44207317073	f0:200_comp:15_p	end_marker	23
98.6982523111775	99.6982523111775	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	98.6982523111775	24	Spectrogram 1	1	150	3439.01009908537	f0:200_comp:16_n	end_marker	24
100.498252311177	101.498252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	100.498252311177	25	Spectrogram 1	1	150	3439.01009908537	f0:200_comp:16_p	end_marker	25
102.298252311177	103.298252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	102.298252311177	26	Spectrogram 1	1	150	3706.86213795732	f0:200_comp:17_n	end_marker	26
104.098252311177	105.098252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	104.098252311177	27	Spectrogram 1	1	150	3706.86213795732	f0:200_comp:17_p	end_marker	27
105.898252311177	106.898252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	105.898252311177	28	Spectrogram 1	1	150	3885.43016387195	f0:200_comp:18_n	end_marker	28
107.698252311177	108.698252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	107.698252311177	29	Spectrogram 1	1	150	3885.43016387195	f0:200_comp:18_p	end_marker	29
109.498252311177	110.498252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	109.498252311177	30	Spectrogram 1	1	150	4063.99818978658	f0:200_comp:19_n	end_marker	30
111.298252311177	112.298252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	111.298252311177	31	Spectrogram 1	1	150	4063.99818978658	f0:200_comp:19_p	end_marker	31
113.098252311177	114.098252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	113.098252311177	32	Spectrogram 1	1	150	4331.85022865854	f0:200_comp:20_n	end_marker	32
114.898252311177	115.898252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	114.898252311177	33	Spectrogram 1	1	150	4331.85022865854	f0:200_comp:20_p	end_marker	33
116.698252311177	117.698252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	116.698252311177	34	Spectrogram 1	1	150	4510.41825457317	f0:200_comp:21_n	end_marker	34
118.498252311177	119.498252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	118.498252311177	35	Spectrogram 1	1	150	4510.41825457317	f0:200_comp:21_p	end_marker	35
120.298252311177	121.298252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	120.298252311177	36	Spectrogram 1	1	150	4688.9862804878	f0:200_comp:22_n	end_marker	36
122.098252311177	123.098252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	122.098252311177	37	Spectrogram 1	1	150	4688.9862804878	f0:200_comp:22_p	end_marker	37
123.898252311177	124.898252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	123.898252311177	38	Spectrogram 1	1	150	4956.83831935976	f0:200_comp:23_n	end_marker	38
125.698252311177	126.698252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	125.698252311177	39	Spectrogram 1	1	150	4956.83831935976	f0:200_comp:23_p	end_marker	39
127.498252311177	128.498252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	127.498252311177	40	Spectrogram 1	1	150	5135.40634527439	f0:200_comp:24_n	end_marker	40
129.298252311177	130.298252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	129.298252311177	41	Spectrogram 1	1	150	5135.40634527439	f0:200_comp:24_p	end_marker	41
131.098252311177	132.098252311177	4CH001I_inside_23July2023.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/raw/degradation_experiment/4CH001I_inside_23July2023.wav	131.098252311177	42	Spectrogram 1	1	150	5313.97437118902	f0:200_comp:25_n	end_marker	42
