"sound.files","selec","start","end","bottom.freq","top.freq","orig.sound.file"
"random_start_schroeder_master.wav",1,1,2,2.21408990550889,3.6031091742836,"start_marker"
"random_start_schroeder_master.wav",2,2.8,3.8,0.15,1.20690977515244,"001_f0-200_ncomp-5_neg.wav_1"
"random_start_schroeder_master.wav",3,4.6,5.6,0.15,1.20690977515244,"002_f0-200_ncomp-5_pos.wav_1"
"random_start_schroeder_master.wav",4,6.4,7.4,0.15,1.38547780106707,"003_f0-200_ncomp-6_neg.wav_1"
"random_start_schroeder_master.wav",5,8.2,9.2,0.15,1.38547780106707,"004_f0-200_ncomp-6_pos.wav_1"
"random_start_schroeder_master.wav",6,10,11,0.15,1.56404582698171,"005_f0-200_ncomp-7_neg.wav_1"
"random_start_schroeder_master.wav",7,11.8,12.8,0.15,1.56404582698171,"006_f0-200_ncomp-7_pos.wav_1"
"random_start_schroeder_master.wav",8,13.6,14.6,0.15,1.83189786585366,"007_f0-200_ncomp-8_neg.wav_1"
"random_start_schroeder_master.wav",9,15.4,16.4,0.15,1.83189786585366,"008_f0-200_ncomp-8_pos.wav_1"
"random_start_schroeder_master.wav",10,17.2,18.2,0.15,2.01046589176829,"009_f0-200_ncomp-9_neg.wav_1"
"random_start_schroeder_master.wav",11,19,20,0.15,2.01046589176829,"010_f0-200_ncomp-9_pos.wav_1"
"random_start_schroeder_master.wav",12,20.8,21.8,0.15,2.18903391768293,"011_f0-200_ncomp-10_neg.wav_1"
"random_start_schroeder_master.wav",13,22.6,23.6,0.15,2.18903391768293,"012_f0-200_ncomp-10_pos.wav_1"
"random_start_schroeder_master.wav",14,24.4,25.4,0.15,2.45688595655488,"013_f0-200_ncomp-11_neg.wav_1"
"random_start_schroeder_master.wav",15,26.2,27.2,0.15,2.45688595655488,"014_f0-200_ncomp-11_pos.wav_1"
"random_start_schroeder_master.wav",16,28,29,0.15,2.63545398246951,"015_f0-200_ncomp-12_neg.wav_1"
"random_start_schroeder_master.wav",17,29.8,30.8,0.15,2.63545398246951,"016_f0-200_ncomp-12_pos.wav_1"
"random_start_schroeder_master.wav",18,31.6,32.6,0.15,2.81402200838415,"017_f0-200_ncomp-13_neg.wav_1"
"random_start_schroeder_master.wav",19,33.4,34.4,0.15,2.81402200838415,"018_f0-200_ncomp-13_pos.wav_1"
"random_start_schroeder_master.wav",20,35.2,36.2,0.15,3.0818740472561,"019_f0-200_ncomp-14_neg.wav_1"
"random_start_schroeder_master.wav",21,37,38,0.15,3.0818740472561,"020_f0-200_ncomp-14_pos.wav_1"
"random_start_schroeder_master.wav",22,38.8,39.8,0.15,3.26044207317073,"021_f0-200_ncomp-15_neg.wav_1"
"random_start_schroeder_master.wav",23,40.6,41.6,0.15,3.26044207317073,"022_f0-200_ncomp-15_pos.wav_1"
"random_start_schroeder_master.wav",24,42.4,43.4,0.15,3.43901009908537,"023_f0-200_ncomp-16_neg.wav_1"
"random_start_schroeder_master.wav",25,44.2,45.2,0.15,3.43901009908537,"024_f0-200_ncomp-16_pos.wav_1"
"random_start_schroeder_master.wav",26,46,47,0.15,3.70686213795732,"025_f0-200_ncomp-17_neg.wav_1"
"random_start_schroeder_master.wav",27,47.8,48.8,0.15,3.70686213795732,"026_f0-200_ncomp-17_pos.wav_1"
"random_start_schroeder_master.wav",28,49.6,50.6,0.15,3.88543016387195,"027_f0-200_ncomp-18_neg.wav_1"
"random_start_schroeder_master.wav",29,51.4,52.4,0.15,3.88543016387195,"028_f0-200_ncomp-18_pos.wav_1"
"random_start_schroeder_master.wav",30,53.2,54.2,0.15,4.06399818978658,"029_f0-200_ncomp-19_neg.wav_1"
"random_start_schroeder_master.wav",31,55,56,0.15,4.06399818978658,"030_f0-200_ncomp-19_pos.wav_1"
"random_start_schroeder_master.wav",32,56.8,57.8,0.15,4.33185022865854,"031_f0-200_ncomp-20_neg.wav_1"
"random_start_schroeder_master.wav",33,58.6,59.6,0.15,4.33185022865854,"032_f0-200_ncomp-20_pos.wav_1"
"random_start_schroeder_master.wav",34,60.4,61.4,0.15,4.51041825457317,"033_f0-200_ncomp-21_neg.wav_1"
"random_start_schroeder_master.wav",35,62.2,63.2,0.15,4.51041825457317,"034_f0-200_ncomp-21_pos.wav_1"
"random_start_schroeder_master.wav",36,64,65,0.15,4.6889862804878,"035_f0-200_ncomp-22_neg.wav_1"
"random_start_schroeder_master.wav",37,65.8,66.8,0.15,4.6889862804878,"036_f0-200_ncomp-22_pos.wav_1"
"random_start_schroeder_master.wav",38,67.6,68.6,0.15,4.95683831935976,"037_f0-200_ncomp-23_neg.wav_1"
"random_start_schroeder_master.wav",39,69.4,70.4,0.15,4.95683831935976,"038_f0-200_ncomp-23_pos.wav_1"
"random_start_schroeder_master.wav",40,71.2,72.2,0.15,5.13540634527439,"039_f0-200_ncomp-24_neg.wav_1"
"random_start_schroeder_master.wav",41,73,74,0.15,5.13540634527439,"040_f0-200_ncomp-24_pos.wav_1"
"random_start_schroeder_master.wav",42,74.8,75.8,0.15,5.31397437118902,"041_f0-200_ncomp-25_neg.wav_1"
"random_start_schroeder_master.wav",43,76.6,77.6,0.15,5.31397437118902,"042_f0-200_ncomp-25_pos.wav_1"
"random_start_schroeder_master.wav",44,78.4,79.4,0.25,1.74261385289634,"043_f0-300_ncomp-5_neg.wav_1"
