Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Agg Entropy (bits)	Avg Amp (U)	Avg Entropy (bits)	Avg Power Density (dB FS/Hz)	BW 50% (Hz)	BW 90% (Hz)	Center Freq (Hz)	Center Time (s)	Center Time Rel.	Delta Freq (Hz)	Delta Power (dB/Hz)	Delta Time (s)	Dur 50% (s)	Dur 90% (s)	End Clock Time	End Date	End File	End File Samp (samples)	End Path	End Sample (samples)	Energy (dB FS)	F-RMS Amp (U)	Freq 25% (Hz)	Freq 5% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Freq Contour  5% (Hz)	Freq Contour 25% (Hz)	Freq Contour 50% (Hz)	Freq Contour 75% (Hz)	Freq Contour 95% (Hz)	Inband Power (dB FS)	Length (frames)	Leq (dB FS)	Max Amp (U)	Max Bearing (deg)	Max Entropy (bits)	Max Freq (Hz)	Max Time (s)	Min Amp (U)	Min Entropy (bits)	Min Time (s)	Peak Amp (U)	Peak Corr (U)	Peak Freq (Hz)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Max Freq (Hz)	PFC Max Slope (Hz/ms)	PFC Min Freq (Hz)	PFC Min Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)	Peak Lag (s)	Peak Power Density (dB FS/Hz)	Peak Time (s)	Peak Time Relative	RMS Amp (U)	SEL (dB FS)	SNR NIST Quick (dB)	Sample Length (samples)	Time 25% (s)	Time 25% Rel.	Time 5% (s)	Time 5% Rel.	Time 75% (s)	Time 75% Rel.	Time 95% (s)	Time 95% Rel.	orig.sound.file	f0	label
1	Spectrogram 1	1	1.000000000	2.000000000	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	1.0000	1172.325	2648.158	1.627		2.082	-31.23	86.133	258.398	2497.852	1.4628	0.4620	1475.833		1.0000	0.3889	0.7779	2.0000		random_start_schroeder_master.wav	88200	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	88200	27.514		2497.852	2325.586	2583.984	2583.984	1291.992;1291.992;1291.992;1378.125;1378.125;1291.992;1291.992;1291.992;1291.992;1291.992;1378.125;1291.992;1291.992;1291.992;1291.992;1291.992;1291.992;1291.992;1291.992;2411.719;2411.719;2411.719;2411.719;2411.719;2411.719;2411.719;2411.719;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2411.719;2411.719;2411.719;2497.852;2411.719;1291.992;1291.992;1291.992;1291.992;1291.992;1291.992;2411.719;2411.719;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2239.453;1291.992;1291.992;2239.453;2411.719;2411.719;2411.719;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2411.719;2325.586;2411.719;2411.719;2411.719;2411.719;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2153.320;1291.992;1291.992;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2239.453;1464.258;1291.992;1378.125;1291.992;1378.125;1291.992;1291.992;1291.992;1378.125;2411.719;1291.992;1636.523;1291.992;1291.992;1291.992;1291.992;2411.719;2411.719;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;1464.258;1291.992;1291.992;2497.852;2411.719;2411.719;2411.719;2411.719;2411.719;2411.719;2411.719;2411.719;2411.719;2411.719;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2411.719;2411.719;2411.719;2411.719;2411.719;2411.719;2411.719;2497.852	1722.656;1722.656;1722.656;1894.922;1808.789;1722.656;1722.656;1722.656;1722.656;1722.656;1808.789;1722.656;1636.523;1636.523;1722.656;1636.523;1636.523;1464.258;1636.523;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;1464.258;1464.258;1722.656;1722.656;1722.656;1722.656;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2411.719;2497.852;2497.852;2497.852;2497.852;2411.719;1464.258;1464.258;2411.719;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2411.719;2325.586;1464.258;1464.258;2411.719;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2411.719;1894.922;1722.656;1808.789;1722.656;1894.922;1722.656;1722.656;1808.789;1808.789;2583.984;1464.258;2411.719;1722.656;1722.656;1722.656;1722.656;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;1894.922;1464.258;1464.258;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2411.719;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2411.719;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852	2067.188;2067.188;2067.188;2153.320;2153.320;2067.188;2153.320;2067.188;2067.188;2067.188;2067.188;2067.188;2067.188;2067.188;2067.188;1981.055;1981.055;1636.523;1981.055;2583.984;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2583.984;1636.523;1636.523;2067.188;2067.188;2067.188;2067.188;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;1636.523;1636.523;2497.852;2583.984;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2411.719;1636.523;1636.523;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2325.586;2067.188;2067.188;2067.188;2239.453;2067.188;2067.188;2153.320;2153.320;2583.984;1636.523;2497.852;2067.188;2067.188;2067.188;2067.188;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2153.320;1636.523;1636.523;2583.984;2497.852;2497.852;2583.984;2583.984;2497.852;2497.852;2497.852;2583.984;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2583.984;2497.852;2497.852;2497.852;2583.984	2325.586;2325.586;2325.586;2497.852;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2153.320;2325.586;2583.984;2583.984;2583.984;2583.984;2497.852;2583.984;2583.984;2583.984;2497.852;2497.852;2583.984;2583.984;2583.984;2583.984;2497.852;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2153.320;2153.320;2239.453;2325.586;2325.586;2325.586;2583.984;2497.852;2583.984;2583.984;2583.984;2583.984;2497.852;2583.984;2497.852;2583.984;2583.984;2583.984;2583.984;2583.984;2153.320;2153.320;2583.984;2583.984;2583.984;2497.852;2497.852;2583.984;2583.984;2583.984;2583.984;2497.852;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2497.852;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2497.852;2497.852;2583.984;2497.852;2153.320;2153.320;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2497.852;2583.984;2411.719;2411.719;2325.586;2583.984;2325.586;2325.586;2497.852;2411.719;2583.984;2153.320;2583.984;2325.586;2325.586;2325.586;2325.586;2583.984;2583.984;2583.984;2497.852;2583.984;2583.984;2583.984;2583.984;2497.852;2583.984;2583.984;2583.984;2583.984;2325.586;2153.320;2153.320;2583.984;2497.852;2497.852;2583.984;2583.984;2583.984;2497.852;2583.984;2583.984;2583.984;2497.852;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2497.852;2497.852;2583.984;2583.984;2583.984;2497.852;2583.984;2583.984	2583.984;2497.852;2497.852;2583.984;2583.984;2583.984;2583.984;2583.984;2497.852;2497.852;2497.852;2497.852;2583.984;2583.984;2497.852;2583.984;2497.852;2325.586;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2325.586;2325.586;2411.719;2583.984;2497.852;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2325.586;2325.586;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2325.586;2325.586;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2497.852;2583.984;2497.852;2497.852;2583.984;2583.984;2583.984;2325.586;2583.984;2497.852;2583.984;2497.852;2497.852;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2325.586;2325.586;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984;2583.984	-18.92	172				4.074	2497.852	1.8053		0.742				2497.852	2325.586;2325.586;2325.586;2583.984;2497.852;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2325.586;2497.852;1291.992;2583.984;2583.984;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2583.984;1291.992;1291.992;2239.453;2325.586;2497.852;2583.984;2583.984;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2583.984;1291.992;1291.992;2583.984;2583.984;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2583.984;1291.992;1291.992;2583.984;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2583.984;2583.984;2583.984;2325.586;2583.984;2497.852;2325.586;2583.984;2583.984;2583.984;1291.992;2583.984;2325.586;2583.984;2497.852;2325.586;2583.984;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2583.984;2239.453;1291.992;1291.992;2583.984;2497.852;2497.852;2583.984;2583.984;2497.852;2497.852;2497.852;2583.984;2583.984;2497.852;2583.984;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2583.984;2497.852;2497.852;2583.984;2583.984;2497.852;2497.852;2497.852;2583.984	0.260	2583.984	222.566	1291.992	-222.566	44.000	0.000;0.000;44.513;-14.838;-29.675;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;29.675;-207.728;222.566;0.000;-14.838;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;14.838;-222.566;0.000;163.215;14.838;29.675;14.838;0.000;-14.838;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;14.838;-222.566;0.000;222.566;0.000;-14.838;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;14.838;-222.566;0.000;222.566;-14.838;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;14.838;0.000;0.000;-44.513;44.513;-14.838;-29.675;44.513;0.000;0.000;-222.566;222.566;-44.513;44.513;-14.838;-29.675;44.513;-14.838;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;14.838;-59.351;-163.215;0.000;222.566;-14.838;0.000;14.838;0.000;-14.838;0.000;0.000;14.838;0.000;-14.838;14.838;-14.838;0.000;0.000;0.000;0.000;0.000;14.838;-14.838;0.000;14.838;0.000;-14.838;0.000;0.000;14.838		-16.98	1.1029	0.0994			41.48	44101	1.2423	0.2398	1.1494	0.1462	1.6312	0.6316	1.9272	0.9298	start_marker	start_marker	marker
2	Spectrogram 1	1	2.800000000	3.800000000	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	2.8000	150.000	1206.910	3.414		3.379	-22.31	516.797	861.328	602.930	3.2972	0.4971	1056.910		1.0000	0.4934	0.8882	3.8000		random_start_schroeder_master.wav	167580	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	167580	35.268		344.531	172.266	861.328	1033.594	172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266;172.266	344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;344.531;430.664;344.531;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;344.531;430.664;344.531;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;430.664;430.664;344.531;344.531;344.531;344.531;344.531;430.664;344.531;344.531;344.531;344.531	602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;689.062	861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;861.328;775.195;861.328;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;861.328;775.195;861.328;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;775.195;775.195;861.328;861.328;861.328;861.328;861.328;947.461	1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594	-11.17	172				3.451	602.930	3.0999		3.300				602.930	602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;602.930;861.328	0.262	861.328	44.513	602.930	0.000	0.000	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;44.513		-19.43	3.0999	0.2982			11.74	44101	3.0534	0.2515	2.8560	0.0526	3.5468	0.7485	3.7442	0.9474	001_f0-200_ncomp-5_neg.wav_1	200	5_n
